aagę	she did say
sesehdagǫ:	on the nape of your neck
sę:sętoh	kick it!
seteht	pound! (corn, etc.)
setseˀdo:dęh	stand the bottles up
setse:nęˀ	you are tied up (as in: a slave to your work); (literally: you are an animal)
sętsgro:t	you are drooling
sewaihǫh	you are good at something
sewaǫ:da:ˀ	you inflate (a tire, balloon)!
sgaˀahdra:t	one basket
sgadęhda:ˀ	to resurface something
sgadigaji:nah	Male Dance; One Side Male Dance (a dance done with paternal cousin, uncle, etc.) (social dance)
sga:di:hah	one side (i.e. one of a pair of shoes)
sgado:da:t	one bow
sgadrehdatsǫˀ	each car
sgadriˀyǫde:s	weasel
sgagweniˀda:t	one penny, one cent
sgahdę:gyeˀs	I go home all the time
sgahnyahsga:t	one button
sgahǫ:da:t	one whip (uncommon)
sgahoˀdęˀ	anything, something
sgahoˀdęˀ dehoihwaęˀ	he is innocent
sgahoˀdęˀ deyoihǫ:t	it is useless
sgahoˀdę:ˀęh	something
sgahǫhsra:t	one box, one thousand
sgahohwa:t	one pelt
sgahǫnˀada:t	one potato 
sgaho:tra:t	one package
sgahsagahaǫ:ˀ	large mouth bass
sgahsaheˀda:t	one bean
sgahsgwˀidrahe:ˀ tsǫ:	you are pruny, wrinkly
sgahsi:ya:t	one line or one string
sgahwihsda:t	one dollar
sgahyadǫhkwa:t	one pencil
sgaihwahsrǫnih	rectify, ratification
sgaihwa:t	one mind (said when consensus is reached in the High Council); one idea
sgaihwihsda:t	one slice
sgai:sdo:wa:ˀ	mullet
sgai:sgędri:	marsh wren 
sgajęha:t	one fire
sgajiˀa:t	one curtain
sgajihsda:t	one lamp
sgajihwęda:t	one bell
sgajǫˀda:t	one fish
sgaksa:t	one dish
sgˀanahgwa:t	one wife, marriage
sganaˀja:t	one pail
sganaˀjohsgwa:t	one cup
sgaˀnawadih	Opposite Side Of The Pond, Swamp (Onondaga Chief Title)
sganędadih	Albany (literally: beyond the pine; on the other side of the pine)
sgaˀnhǫhsat	one egg
sgˀanigǫha:t	one mind
sgˀanigǫha:t odǫˀǫh	coalition
sganǫhgwijǫ:gyeˀ	they (literally: it) came back all wet
sganoˀja:t	one tooth
sganyada:digo:wah	Europe (literally: the other side of the ocean)
sganyadae:s	Long Lake; Skaneateles, N.Y. (literally: long lake)
sganyadai:yoˀ	Beautiful Lake (Seneca Chief Title); Handsome Lake (the Messenger)
sganyaˀdiga:ˀ	heron
sganyęˀswa:dih	to its left
sganyo:da:t	one teaspoon
sganyo:da:t ganyodowa:nęh	one tablespoon
sganyǫhsaˀ	moose
sga:t	one
sga:t awęhęˀ	one flower
sga:t dęwatwada:se:ˀ	one year; (literally: it will go around once)
sga:t dewęˀnyˀawˀe:	hundred
sga:t ęgahwihsdaˀe:k	it will be one hour
sga:t e:gęh	one acre
sga:t ęyaǫ:dadogehteˀ	one week
sga:t eyohsra:t	one year
sga:t hęwa:dra:s	once
sga:t heye:ti:nǫhk	we are all related to that person
sga:t heyotahinǫ:	one concession (measurement)
sga:t heyotgahtwęh	one mile (literally: how far you can see)
sga:t ona:tsih ahdahgwaˀ	one pair of shoes
sga:t shayędǫtoˀ	he put one more piece of wood on the fire
sga:t skaeˀ	eleven
sga:t wˀęnihsgaǫ:t	it has one wheel
sga:t wˀęnihsgaǫ:t enęhgwitaˀ	wheelbarrow
sgatseˀda:t	one bottle or quart
sgatsehsdaˀ	sturgeon
sgatsehsda:t	one piece of gum
sgatshǫ:ˀǫh	one by one
sgatshǫ:ˀǫh gagehǫˀ	one of each thing lying around
sgawahsda:t	one clothespin
sgayaˀda:t	one animal, one living thing
sgayaˀda:t degayˀadahkwaˀ	one hen hawk
sgayaˀde:s	water snake
sgaya:t	one bag
sga:yę:	it resembles
sgayęhsra:t	one blanket
sgegęhęˀda:nih	you are sick of me
sgęgyohgwa:t	one crowd, body
sgęgyohgwa:t odǫˀǫh	coalition
sgęjǫˀda:t	one fish
sgę:nǫˀ	hello; how are you? (literally: it is well)
sgę:nǫ: degyadęhnǫ:de:ˀ	said by a brother, sister, if they haven't seen each other in a while
sgę:nǫˀ genǫhdǫnyǫh	I am at peace
sgę:nǫ: genǫhdǫnyǫh.	I am fine or healthy
sgę:nǫ: gwadreˀ	said by a grandmother greeting her grandchild
sgę:nǫ: senohdǫnyǫh	you are safe; you are feeling well; you are at peace with yourself
sgęnǫgowa:hah	slowly, fairly slow
sgęnǫ:ˀǫh	it is slow; slowly
sgę:nǫ:ˀǫh hotrihsdǫhǫ:gyeˀ	he is sneaking around slowly
sgęnǫ:ˀǫh nęh tsye:	you take your time
sgętseˀda:t	one bottle or quart
sgihę:dih	Pinewoods, Cattaraugus (literally: alongside the river)
sgihyoˀtsaˀ	jowls
sgraheda:t	one tree
sgwaˀahdaˀ	frog
sgwaˀahdaˀgo:wah	a species of bull frog
sgwaˀahdaˀshǫ:ǫh	variety of frogs
sgwaęˀdaˀ	colts foot
sgwagwaǫdagǫ:wah	big, fat toad
sgwa:gwaǫ:dǫˀ	toad
sgwa:yęh	otter
sgyęˀwatę:	it is skinny
shaˀda:tęhs	you are thirsty
shadiˀdrehdǫnihsgeh	garage, auto shop
shadiyaǫdataˀ	Dry Up the Trees (ceremony done at the ending of the maple sap run)
shaˀdrehdǫ:nihs	he is a mechanic
shagoda:dahgwahs	He Takes Out People’s Feces (legendary figure)
shagodęnyehtaˀ	judge
shagodęnyehtaˀgo:wah	Chief Justice
shagodigohgo:wah	their queen
shagodi:hwahniyadǫh	they got married by the Chiefs; marriage ceremony usually sanctioned by the Chiefs; (literally: they hardened them)
shagodiˀnigǫha:ˀ	they (non-feminine) are protecting, watching (over someone)
shagodiye:nahs	policemen
shagodiye:nahsgeh	police station
shagodiyenahsgo:wah	RCMP
shagogawe:haˀ	He Paddles or Ferries People (legendary figure)
shagoˀgę:ˀęh	his younger sister
shagogǫhsohai:	he is washing her face
shagohę:dǫ:	a leader
shagohę:dǫ: gyohwęja:deˀ	leader (of a land, country, or territory)
shagohę:dǫ: odǫhwęja:deˀ	leader (of a land, country, or territory)
shagohsehtaˀ	he is a robber, stealer
shagohyadǫhsehgo:wah	Secretary of State
shagoihǫt	he has appointed someone
shagonadęnyehtaˀ	judges
shagonǫ:aęˀyęhtaˀ	He Hits With A Head (legendary figure)
shagotgowahdanih	he is a rapist; he is raping someone now
shagoyehwahtaˀ	Red Jacket
shago:ye:nahs	policeman
shahaha:ˀ	he went back on the road
shahahaˀtwahdahnǫ:ˀ	he kept missing the road(singular)
shahahaˀtwahdahnǫh	he keeps missing the roads
shahaha:twaht	he missed the road again
shaha:wiˀ	he brought it with him
shahsrǫ:nihs	repairman
shahye:s	thimbleberries
shanaˀgeh	on your groin
shaˀnya:gęˀ	he escaped
shaohetso:goˀ	it has tricked him; he got fooled (like the frog)
shaǫ:wihshęˀǫh	he is panting again; short of breath
shayahgwa:se:	you have new pants
sha:yǫˀ	he returned
shę niyo:weˀ	how much; how many; how far; until; up to there
shę niyo:yade:s	how deep it is (the hole)
shędaę	you lay the field (take bets?)
sheˀdahswahęhs	you scold people all the time
shedehjihahgeha:ˀ	morning kind
shedehjihahnehah	mid-morning
shedwagowa:nęh	he is our leader
shedwahjiˀah	our older brother
shedwanǫhkwaˀ	we love him
shegęhęnih	you are mean to her
shegǫnyǫhstahk	you used to honour her
shęh	of, because, how, that
shęh dwanihnadogaˀtaˀ	human emotions; feelings; nerves
shęh dwayaˀdadeˀ	human conditions
shęh haji:nah	penis, phallus
shęh hoˀ dęˀ	whatever; a certain something
shęh hǫ:weh	there; where
shęh nhǫ:weh	there; where
shęh niwadęhnihsri:neˀs	time of day
shęh niwagadeˀdroˀdę:	how I feel about something, someone
shęh ni:waˀs	sizes; how big they are; (literally: how big it is)
shęh niwęhnihsroˀdęˀs	seasonal weather conditions
shęh niyejihsdo:taˀ	the time when you turn the lights on
shęh ni:yǫ:	the amount of
shęh niyǫgwai hoˀdęˀ.	our way
shęh niyotgęihsdǫhǫ:gyeˀ deyowa:węnyeˀ	seasons
shęh niyo:weˀ	how much, how many, how far, until
shęh niyoyanreˀ	how good it is
shęh ǫ:weh	it is really
shęh tgiˀdrǫˀ	where I live
shehahseh	you serve her/them all the time
shehdehnyęhtaˀ	you are knocking her over right now
sheho:wih	tell her
shehwihsdanihahs	you borrow from her
shęnhǫ:weh	where abouts
sheno:ˀ	your step-daughter
shenǫhksǫh	your relatives; also high language to describe our relationship to all people
shenoˀjanhǫ:dęh	put her teeth in
sheˀshęnyǫgwęh	you have overpowered someone (before; a long time ago)
sheˀshę:nyǫhs	you are always overpowering someone; you are overpowering someone right not 
sheyadahsęhdǫh	you have already put someone down; you discriminated against her
sheyaˀdaˀs	you rely on someone
sheyadaˀsęhtaˀ	you put someone down all the time
sheyadrǫhgwa:nih	you are threatening, scaring someone
sheyahdehnyęhtaˀ	you are knocking people over
sheyahǫ:dǫ:ˀ	you ask her
sheyehsahdahnǫh	you are slandering, insulting someone
sheyehsahtaˀ	you always insult, slander someone
sheyenaˀwaˀs	you help her
shogęˀjo:wa:ˀ	Large Forehead (Seneca Chief Title)
shogogęheˀ	He Is Seeing Them (Onondaga Chief Title)
shǫgwadęnaˀtraę:ni:	the food he has given us
shǫgwaęnawihǫˀ	he has given each of us a song
shǫgwaęnawihshǫˀ	he has given us a song
shǫgwaihǫ:t	he has appointed us
shogwa:sęh	He Has Bruised Himself (Onondaga Chief Title)
shǫgwa:wi:	he has given us
shǫgwayaˀdihsˀǫh	he is the Creator (of our bodies)
shohetsogwęh	he was fooled (like the frog)
shohsgohao:wa:ˀ	He Is a Good Woodrift or He is a Big Branch (Mohawk Chief Title)
shohshaˀdrǫh	he is remembering (right now)
shǫnaˀdohai	wash the potatoes
shonǫhse:s	He Is of a Longhouse (Oneida Chief Title)
shonǫˀne:t	he is behind him, he is next in line
shǫwadihkwęˀ	they took it back from him again
sho:yǫ:	he returned
shoyǫ:we:s	He has Long Wampum (Cayuga Chief Title)
si	there
si gwa:dih	over there; common way of telling a dog to move
si: gyęh	that, way over there
si hne:ˀ	over there
si nhǫ:weh	way over there
si: tgaheˀ.	It is sitting over there.
sida:ge:ˀ	you are lying down, prostrate
sidǫhgwahstwaht	lower the flame (kerosene lamp)
sidręhgye:nyęˀs	you are nodding off, falling asleep
sihna:tę:	you have dry skin
sihsa:k	look for it
sihsa:kah	go and look for it
sitga:ni:yǫ:t	it was left hanging over there
skejęˀtaˀ	you cure me (all the time)
snagai:	whistle!
snagęhsrǫni:ˀ	you make hills to plant in
snahtsa:grahs	your bum smells
sna:sǫ:	lubricate something
sna:sǫ: gadrehdaˀ	lubricate, grease the car
snˀatsaˀgeh	on your buttocks
snˀatsǫ:t	your buttocks
snegade:nih	you (singular) drain something! (such as potatoes); (literally: you change the water)
snegehah	drink
snęhsaˀgeh	on your shoulders
snętsaˀgeh	on your arm
snę:tso:t	you have an arm, your (attached) arm
snę:ye:s	you are tall
snidaˀdrah	you two go to bed
snigǫhaˀk	watch out for yourself
snigǫhowa:nęh	you have a broad mind
snigowanęh	you two are big
snihnegehah	you two drink
snihnę:ye:s	you two are tall
sninę:tso:t	you two have an arm
sniˀnhǫhdagrahs	your (two) armpits smell
sninoˀjo:t	you two have teeth
sniyenawaˀs	you two help a cause
snˀǫgwaˀgeh	on your breast
snǫhweˀs	you like
snˀojaˀgeh	on your teeth
snojohai:	you brush its teeth
snoˀjo:t	you have teeth
snonyo:tsiˀ	husk the corn
snǫtsanǫhwa:s	you two have a sore knee
sǫ	who 
sǫ: go:węh	whose (is that)?
sǫ: hne:ˀ naht	who is that?
sǫdagwe:gǫh	all through the night, all night
sǫ:da:s	you put something in
sǫ:deˀ	last night
sǫga:	someone
sǫga:ˀah	someone
sǫge:jęˀt	it cured me
sǫgeˀnigǫhęh	I forgot
sǫgi:daˀ	I went back to sleep
sǫgweˀdi:yo:	you are a nice person
sǫgwi:yęˀs	I had a miscarriage
sǫgwi:yǫ:diˀ	I had a miscarriage again
sǫhehka: ęhniˀda:ˀ	moon
sǫhehka:ˀ ga:gwa:ˀ	moon
sohga:hǫh	you have coated it
sohga:s	you coat something all the time (i.e. for a living)
sohǫ:t	turkey
sǫhwę:jaˀ	your land, property, real estate
sǫˀnaht hejehehs	whose birthday is it?
sǫne:k	you remove something
sǫne:ksǫ:	you remove several things
sǫˀǫh	who 
sǫˀǫh naht	who; which person; which one
sǫtsaˀgeh	on your knee
sǫtsanǫhwa:s	you have a sore knee
so:wa:s	dog
sowa:sgo:wah	great dog
sradaˀgeh	on your heel
sradanǫhwa:s	you have a sore heel
sra:deˀ	you are climbing
sragwahdagǫ:	on the ball, sole of your foot
sra:tęh	you climb!
srawihsdotsih	peel it!
srihwahsˀahs	you promise, make an agreement all the time
srihwaˀnekaˀ	you pray
stǫ:hah	a little bit
swaˀahsˀageh	on your (plural) chests
swadagaideˀ	you all are healthy
swadahdˀitra:t	one sock
swadęhęwaǫ:nyǫˀ	you all are carrying babies
swade:kǫ:nih	you all eat
swadekwahahsra:t	one table
swadrawihsda:t	one slice
swadręnowa:nęh	you all have a big smell, odour, scent
swagahaˀgeh	on your (plural) eyes
swagahehdaˀgeh	on your (plural) eyelashes
swagahgwao:sˀageh	on your (plural) eyebrows
swagahshaˀdrǫnyǫh	I am recalling, remembering
swageˀaˀgeh	on your (plural) hair
swagejęˀdǫh	it did cure me again
swagęˀsda:ˀgeh	on your (plural) hairline, upper brow; on your (plural) foreheads
swagǫˀdˀageh	on the bridge of your (plural) noses
swagǫhsˀageh	on your (plural) faces
swagowanęh	you all are big
swa:gwahdaˀgeh	on the balls of your (plural) feet
swa:gwahda:gǫ:	on your (plural) soles
swagwiyaędadręˀ	I am going to have another child
swagyę:	you all sit down
swagyędahkwa:t	one chair
swagyǫ:	I came back
swaha:dih	the other side of the road
swahanˀageh	on your (plural) groins
swahdahgwa:t	one shoe
swahdahgwa:t ahdahgwaǫweh	one ceremonial shoe
swahdega:ˀgeh	on your (plural) ribs
swahge:dahs	you return, regress
swahgwenya:t	one set of clothes
swahnahtsagrahs	your (plural) bums smell
swahnaˀtsaˀgeh	on your (plural) buttocks
swahnegehah	you all drink
swahnęhsˀageh	on your (plural) shoulders
swahnę:ye:s	you all are tall
swahnyaˀsˀageh	on your (plural) necks
swahǫhdˀageh	on your (plural) ears
swahsagahę:t	your (plural) mouths
swahsgwawenyǫˀ	you all are carrying babies
swahsiˀdˀageh	on your (plural) feet
swahsiˀdanǫhwa:s	you all have a sore foot
swahsinˀageh	on your (plural) legs
swahsnaˀdˀageh	on your (plural) calves
swahsˀohdˀageh	on your (plural) hands
swahsǫhga:ˀgeh	on your (plural) upper lip
swahsohgwˀageh	on your (plural) lips
swahsweˀnˀageh	on your (plural) upper backs
swahwaji:yaˀ	your (plural) families
swahyagwiyaˀgeh	on your (plural) toes
swahya:t	one fruit
swahyohsˀageh	on your (plural) elbows
swahyo:wa:ˀ	apples or crabapples
swahyowa:ˀ ohyaˀ grahe:t	apple tree
swaja:gǫh	you all persevere! keep it up! (a word of encouragement)
swajaohoˀgwanǫhwa:s	you all have a sore ankle
swajia:ohoˀgwˀageh	on your (plural) ankles
swajiˀohdaˀgeh	on your (plural) nails
swajisgˀogwaˀgeh	on your (plural) hips
swakseˀdˀageh	on your (plural) bellies
swanahaotra:t	one hat
swanęhęsrǫ:nih	you all stand in line or a formation
swanętsaˀgeh	on your (plural) arms
swanę:tso:t	you all have an arm
swaˀnhǫhdagrahs	your (plural) armpits smell
swˀanhǫhsga:ˀgeh	on your (plural) thighs
swanǫˀa:ˀgeh	on your (plural) heads
swanǫgwˀageh	on your (plural) breasts
swanoˀjageh	on your (plural) teeth
swanoˀjo:t	you all have teeth
swanǫnheˀdraˀgeh	on your (plural) nipples
swanyędˀageh	on your (plural) shins, legs
swˀanyǫhsˀageh	on your (plural) noses
swaǫ:gyaˀgǫh	you all have cut the log
swatahi:neˀ	you all are walking
swatgęnihsˀahs	you have meetings all the time
swatgęnihsˀahsgǫ:	you are always having meetings (can be derogatory)
swatgęnihsˀǫh	you are having a meeting right now
swatnagwihdra:t	one belt
swatnaˀtsotra:t	one pair of pants
swatohgwa:t	one bundle
swatowinyǫˀse:	you all have a cold
swatrǫniˀda:t	one set of clothes
swawęˀnohsaˀgeh	on your (plural) tongues
swawęˀyǫhga:ˀgeh	on your (plural) thumbs
swayaˀda:ˀ	your (plural) picture
swayaˀdˀageh	on your (plural) bodies
swayaˀga:ˀgeh	on your (plural) waist
swayahshǫnyǫˀ	your (plural) names
swayanehsrǫnih	you all are lawmakers
swa:yę:	you all set it down!
swayoˀgwaˀgeh	on your (plural) cheeks
swayoˀtsaˀgeh	on your (plural) chins
swayuˀtsaˀgeh	on your (plural) chins
swęˀdˀaę:ˀ	black
swegehaˀ	back then, long ago
swęhniˀda:t	one month
swˀęnahsagrahs	your (plural) tongues smell
swęni:hę: to:gyęh	you all quit that!
swęˀnohsageh	on your tongue
swęnǫhsakahǫˀ	your neighbours
sweˀnǫ:nih	wrap it!
swętseˀdo:t	your (plural) navels
syaˀdaˀgeh	on your body
syaˀda:grahs	your body smells
syaˀdohai:	give it a bath
syadǫhsraędiˀ	you are smart (educated)
syˀagaˀgeh	on your waist
syehwa:t	you are an early riser
sye:na:waˀs	you help it
syę:sehs	you skin animals all the time
syˀǫdaˀgeh	on your gums
sˀyoˀgwaˀgeh	on your cheeks
sˀyotsaˀgeh	on your chin
taˀdegawa:yǫ:t	it has no wings
taˀdegawęnage:	all kinds of languages; multilingualism
taˀdegrihwahsnyeˀ	I oppose it; I do not agree
taˀdehoˀnigǫha:nih	he is unconcerned, indifferent
taˀdęjatahahk	you two will walk side by side
taˀdesagyę:	you are quiet
taˀdewagehdǫ:ˀ	I did not mean or intend it
taˀdeyogahaędaht	it is fuzzy, out of focus, opaque, unclear
taˀdeyo:gyę:	quietness, quiet, stillness
tadihsnye:gyeˀs	they (male) look after all
tadinagreˀ	that is where they (male) live over there
tadiyędae:siˀ	they (male) broke the tie (died suddenly)
tadoda:hoˀ	Entangled (Onondaga Chief Title)
ta:gaesayę:de:	they will not recognize you (i.e. a disguise)
taˀgaihwagǫ:dǫ:ˀ	it smothered, died out slowly on its own, petered out
taˀgaǫ:nihę:ˀ	they (female or mixed group) suddenly quit
tagihnǫ:s	he is calling me
taˀgǫ:niˀ	I made it in place of something else, replaced it
tahagęnidahęh	he won't shit on me!
tahayęto:ˀah	he planted it any old way, any place
tahnawa:deˀ	Tonawanda (literally: rapids are there)
tahyǫ:ni:	wolf
tana:greˀ	where he lives over there
taodawęhęgyeˀ	he is swimming towards us
taǫ:hwęjadeˀ	where his land exists
taˀsadodahsiˀ	you appeared unintentionally
tatgahdǫhs	He Looks Around (Onondaga Chief Title)
ta:wage:gęh	it will not see me
ta:waknǫhyˀagǫ:k	if I hadn't been hurt
tawedahgǫh	he believes 
tayatgwai:	He Is of Wide Body (Onondaga Chief Title)
tayęda:ne:gęˀ	Tyendinaga (literally: land of two logs)
tayędane:gęˀ	Deseronto (literally: firewood side-by-side there)
tayętwahse:k tsǫ:	let him keep planting over there
ta:yǫge:gęh	she will not see me
tęˀ	no
tęˀ dagogeˀo:t	she has no hair
tęˀ daǫ	it will never happen
tęˀ daǫ:	it will never happen; definitely not
tęˀ deˀakˀnigǫhaędaˀs	I do not understand
tęˀ dedo:gęhs	no, it is not right
tęˀ dega:dę:s	it is not thick
tęˀ degahshahsdeˀ	no, it is not strong
tęˀ dega:nǫ:ˀ	it is not costly
tę dega:wę:na:t	voiceless syllable
tę dega:yęˀ	there is not any
tęˀ dege:gęh	I did not see it
tęˀ degę:hęh	not too many
tęˀ degehnǫhweˀs	I do not like it
tęˀ dehayętwahs	he is not a planter
tęˀ dˀehogeˀo:t	he has no hair; he is bald
tęˀ dˀehoˀnigǫhaędaˀs	he does not understand
tęˀ dehoˀnihshęˀ	he has no father (description of the Peacemaker)
tęˀ dehoyętwęh	he did not plant
tęˀ dehswa:gęh	you all did not see it
tęˀ dejo:drę:no:t	it is not singing again
tęˀ dekˀnigǫha:	I am not expecting
tęˀ desadagaideˀ	you feel sick
tęˀ detga:yeiˀ	it is bad, false, wrong
tęˀ detga:yi:ˀ	it is bad, false, wrong
tęˀ dˀewadadehsęnaędi:	it does not know its name; she does not know her name
tęˀ dewa:ge:gęh	it did not see me
tęˀ dewa:gyęˀ	it is not mine; I do not have
tęˀ dewa:kni:nǫh dęˀ deˀa:kni:nǫh	I did not buy it
tęˀ deyagogeˀe:s	she does not have long hair
tęˀ dˀeyǫ:s	it is not long
tęˀ deyǫtwaji:yǫ:nih	she is barren
tęˀ gaˀ toh	nowhere; anywhere
tęˀ gęh	no?
tęˀ giˀ daǫ:	No, it will not happen; definitely not
tęˀ giˀ hne:ˀ	not really
tęˀ giˀ ni:ˀ	no, not me
tęˀ gwahs ǫ:weh	not really
tęˀ hne:ˀ	not that
tęˀ hwę:dǫh	never; not ever
tęˀ nigęˀǫh	isn't it
tęˀ seˀ	not really
tęˀ sgahoˀdęˀ	nothing
tęˀ taˀdehawehdǫ:	he did not mean it
tęˀ taeswa:gęh te:swa:gęh	you all should not (etc.) see it 
tęˀ ta:gatgahtoh	I should not or will not look at it
tęˀ ta:ge:gęh	I will not or should not see it
tęˀ tahayętoh	he will not plant
tęˀ ta:kni:nǫh	I should not or will not buy it
tęˀ ta:wa:dǫh a:sejaodęˀ	No Smoking
tęˀ te:sagaę:	you are not willing
tęˀ teˀsnigǫhayei:ˀ	you are crazy (comical); you lose control of your mind
tęˀ to deˀa:ge:	I am not going (no glottal stop)
tęˀ tǫ ne:ˀ	not really
tea:ǫt	muskrat
tęda:ge:ˀ	he is lying over there
te:dę:ˀ	yesterday
tehaˀnigǫhayei:ˀ	he is not right in the mind
tęhayęto:ˀah	he will just plant it any old way or place, helter-skelter
tęhsadodahsiˀ	you will appear unintentionally
tehtǫˀ	ground hog, woodchuck, gopher
tęnadręnaihaˀ	they (male) are praying
tęnagai:neˀ	Dragging Horns (Mohawk Chief Title)
tęnatahahkwaˀ	they (male) are travellers, shape-shifters
tęnatnahsgǫ:nih	they (male) are teasing the animal
tęnedahkwaˀ	where they (male) come from 
tęnęˀnigǫho:taˀ	the Advisory Council; (literally: they give ideas, suggestions)
teo:jiˀ	iron wood (tree); red oak
teo:jiˀ ohnyoˀgwaˀ	acorn
tęwadadǫ:niˀ	it will emerge or appear unintentionally; it will do it by itself
tgaegowa:nęˀs	my older siblings
tgaęgwadih	they (female or mixed group) are going in a direction
tgae:nagreˀ	where they (female or mixed group) live over there
tgaenagrehk	they (female or mixed group) did or used to live there
